start_osm_way_id,end_osm_way_id,t_type
6052466,297236035,2
6052466,6056085,7
6052466,6052466,0
50752706,6054456,7
50752706,50752706,0
296348849,331914019,0
296348849,331914024,5
6052466,6052466,0
6055608,6055608,0
6057751,296384738,7
6057751,6057751,0
297368625,297368625,0
297368625,297380214,6
333922766,333922766,0
333922766,120478695,7
130802359,382850737,0
130802376,130802376,0
130802376,202992524,7
155011691,130788227,0
155011691,50710195,3
155011691,6056532,7
130788227,130788227,0
50710195,297296749,8
50710195,297296762,1
6056532,6057581,1
6061869,6061869,0
6061869,210099429,7
29961157,29961157,0
29961157,130908179,3
29961157,6056239,7
130908179,130908179,0
130908179,125568114,3
6056239,6056239,0
87036501,87036501,0
333922766,333922766,0
333922766,297444238,3
333922765,347003330,7
333922765,347003329,0
297382770,297444238,3
297382770,297382770,0
321444898,130285122,7
321444898,321444899,0
321444902,321444902,0
321444902,70948801,4
130285122,126303355,0
130285122,70948801,3
200019461,308739814,5
308739814,308739814,0
130788195,200019461,7
130788195,130788192,0
125568108,125568108,0
130908179,130908179,0
125568108,125568108,0
125568108,130908179,7
6056239,6056239,0
6055639,6060995,3
202995100,51373073,3
6060995,6053096,3
6060995,6060995,0
29964830,131076093,0
29964830,6061305,7
6061639,6061456,3
6061639,6061639,0
131076093,131076093,0
131076093,130285144,4
6061305,6061305,0
6061305,6061456,3
131076093,131076093,0
130285144,130285144,0
130285144,278159516,2
131076093,131076086,0
131076093,130285143,8
131076086,131076086,0
131076086,130908178,6
131076086,6061863,8
131076086,131076086,0
131076086,131052330,7
130908178,130908178,0
130908178,130285143,2
6061863,6061461,3
6061863,6061863,0
131076086,131076086,0
131076086,6061051,7
131052330,131052330,0
131052330,6061461,3
131076086,131076086,0
131076086,6256526,7
6061051,6061051,0
131076086,6056757,7
131076086,131076086,0
6256526,6061462,3
6256526,6256526,0
6056757,6056757,0
6056757,6061462,3
131076086,131076086,0
131076086,50503658,8
131076086,47969697,0
130808352,50795345,7
130676655,45837734,1
50795344,50795344,0
50795344,131240406,3
135146241,29961219,7
6058679,131240406,3
6058679,6058679,0
135146241,135146241,0
135146241,6058679,3
29961210,131240406,3
29961210,29961210,0
135146241,135146241,0
6061169,131240406,3
6061169,6061169,0
135146241,135146241,0
135146241,6061169,3
6057917,131240406,3
6057917,6057917,0
131240439,131240439,0
135146241,135146241,0
135146241,6057917,3
135146241,130927079,7
135146241,135146241,0
135146241,135146241,0
6061944,345633934,7
193002132,130908030,7
193002132,193002132,0
50473182,117313634,3
50473182,367694953,0
6055914,6055914,0
130889762,29964857,2
130889762,130889762,0
